Nama Produk,Harga Produk,Jumlah Barang Yang Terjual,Tautan Produk,Tautan Citra
Ace Sentry Safe 41.5X49.1X45.3 cm Brankas Tahan Api Sfw123Gtc Brangkas Safety Box Tempat Barang Berharga Berangkas,7999000,5,https://www.tokopedia.com/aceindonesiaid/ace-sentry-safe-41-5x49-1x45-3-cm-brankas-tahan-api-sfw123gtc-brangkas-safety-box-tempat-barang-berharga-berangkas?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch%26whid%3D13435759,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/8/22/0fe4323d-6c99-419a-8bd5-b0716069d81e.jpg.webp?ect=4g
Ace - Krisbow 50x49x70 Cm Brankas Tahan Api Yb-700alp,9999000,5,https://www.tokopedia.com/aceindonesiaid/ace-krisbow-50x49x70-cm-brankas-tahan-api-yb-700alp?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/27/aaf1d4c3-fabe-4cd2-910f-ae424d8232f9.jpg.webp?ect=4g
Ace - Klaz 45x38x23 Cm Brankas Besi Layar Sentuh - Hitam,2699000,9,https://www.tokopedia.com/aceindonesiaid/ace-klaz-45x38x23-cm-brankas-besi-layar-sentuh-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch%26whid%3D13435652,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/4/29/3115e60d-da79-4b43-b024-1884ef230606.jpg.webp?ect=4g
Celengan Model Kotak Brankas Mini Home Safe Deposit Box Bahan Baja,114900,80,https://www.tokopedia.com/maslindastore/celengan-model-kotak-brankas-mini-home-safe-deposit-box-bahan-baja-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/5/19/31b2c0dd-d7cf-45f9-8af9-c53162de7bb2.jpg.webp?ect=4g
Ace - Klaz 45x38x23 Cm Brankas Besi Layar Sentuh Em23 - Hitam,2799000,21,https://www.tokopedia.com/aceindonesiaid/ace-klaz-45x38x23-cm-brankas-besi-layar-sentuh-em23-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch%26whid%3D8266055,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/4/29/cdc0dee4-0c7a-4d45-b475-a08e2d84f9e6.jpg.webp?ect=4g
Brankas Buku / Brankas Bentuk Buku Novel / Brankas Buku Mini / Book Safe Password + Kunci Manual 15x5x24 cm ET647,108000,16,https://www.tokopedia.com/delioa/brankas-buku-brankas-bentuk-buku-novel-brankas-buku-mini-book-safe-password-kunci-manual-15x5x24-cm-et647?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/4/963ecc94-4cab-4be4-8413-bf5097fb2d83.jpg.webp?ect=4g
TaffGUARD Brankas Mini Electric Password Safe Deposit Box Size M,410900,250,https://www.tokopedia.com/taffware/taffguard-brankas-mini-electric-password-safe-deposit-box-size-m?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26search_id%3D20241124041719195178596F87BB0F500G%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/5/68b2772e-deb3-43e0-891b-885f82f8d579.png.webp?ect=4g
ACE - Krisbow Brankas Besi 20Hol - Hitam,1699000,100,https://www.tokopedia.com/aceindonesiaid/ace-krisbow-brankas-besi-20hol-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch%26whid%3D13435691,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/3/2/4f04b60f-1b72-4c50-9b5b-ca328c31cfa4.jpg.webp?ect=4g
Ace - Krisbow Brankas Tahan Api Yb-350alp-C - Hitam,3499000,8,https://www.tokopedia.com/aceindonesiaid/ace-krisbow-brankas-tahan-api-yb-350alp-c-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch%26whid%3D15257541,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/11/19/9d8ab710-55dd-4a78-a9f1-3a6c40400678.jpg.webp?ect=4g
Brangkas Besi Mini anti Api penyimpanan perhiasan uang,55200,500,https://www.tokopedia.com/4akshop/brangkas-besi-mini-anti-api-penyimpanan-perhiasan-uang-s?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/29/bedb5faf-cddd-43fc-b5bc-1ea8351c8cde.jpg.webp?ect=4g
