Nama Produk,Harga Produk,Jumlah Barang Yang Terjual,Tautan Produk,Tautan Citra
ELMAZHGANG Mesin Bubut Mini Lathe Wood Metalworking 550W - CJ0618,6590700,40,https://www.tokopedia.com/budgetgadget/elmazhgang-mesin-bubut-mini-lathe-wood-metalworking-550w-cj0618-merah?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26search_id%3D20241124012017A48BD17A25E2A3194L2B%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/30/dd12a4b0-0705-4114-a37d-d29fd50127a7.png.webp?ect=4g
"Hard Jaw 8"" Claw Bubut 8 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 8in",324163,100,https://www.tokopedia.com/teknikloak/hard-jaw-8-claw-bubut-8-inch-3-jaw-chuck-mesin-kaki-utama-balik-8in-r-dalam?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26search_id%3D20241124012017A48BD17A25E2A3194L2B%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/8fe3fa36-230e-4c4b-92ed-d7809def68e9.jpg.webp?ect=4g
Live Center MT4 Centering JIG Morse Taper MT 4 Mesin Bubut Putar Hidup,333102,40,https://www.tokopedia.com/teknikloak/live-center-mt4-centering-jig-morse-taper-mt-4-mesin-bubut-putar-hidup?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/2/d2a4fd0a-aab6-404a-bb23-de697735915c.jpg.webp?ect=4g
"Hard Jaw 5"" Claw Bubut 5 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 5in",234038,100,https://www.tokopedia.com/teknikloak/hard-jaw-5-claw-bubut-5-inch-3-jaw-chuck-mesin-kaki-utama-balik-5in-r-dalam?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/9f0cf190-743d-4e24-b050-24920b56b5c5.jpg.webp?ect=4g
OSSIEAO Mesin Bubut Mini Lathe Wood Metalworking DIY 96W - LXGD-CC,422560,22,https://www.tokopedia.com/flea-market/ossieao-mesin-bubut-mini-lathe-wood-metalworking-diy-96w-lxgd-cc-hitam-etc?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/17/e1c3821d-b4b6-42c7-bbd9-8991a2dd1ca3.jpg.webp?ect=4g
"Hard Jaw 3"" Claw Bubut 3 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 3in",184588,27,https://www.tokopedia.com/teknikloak/hard-jaw-3-claw-bubut-3-inch-3-jaw-chuck-mesin-kaki-utama-balik-3in-r-dalam?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/1c213ea8-6de0-40b3-9dc0-3a402c86685a.jpg.webp?ect=4g
"Nankai Selang Minyak Mesin Bubut + Stop 1/4"" Selang Coolant",23043,80,https://www.tokopedia.com/teknikloak/nankai-selang-minyak-mesin-bubut-stop-1-4-selang-coolant-keran?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/11/b0a4de50-539a-4ab5-a920-7d8f7beb9e17.jpg.webp?ect=4g
"Hard Jaw 10"" Claw Bubut 10 Inch 3 Jaw Chuck Mesin Kaki Utama Balik",296712,100,https://www.tokopedia.com/teknikloak/hard-jaw-10-claw-bubut-10-inch-3-jaw-chuck-mesin-kaki-utama-balik-l-luar?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/ead412c1-4078-4344-883d-b48bbfb19cf2.jpg.webp?ect=4g
Live Center MT5 Centering JIG Morse Taper MT 5 Mesin Bubut Putar Hidup,491424,19,https://www.tokopedia.com/teknikloak/live-center-mt5-centering-jig-morse-taper-mt-5-mesin-bubut-putar-hidup?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/2/b223e7fc-6ad8-4b0a-b898-965d2be0efab.jpg.webp?ect=4g
"Hard Jaw 4"" Claw Bubut 4 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 4in",198990,3,https://www.tokopedia.com/howmau/hard-jaw-4-claw-bubut-4-inch-3-jaw-chuck-mesin-kaki-utama-balik-4in-4-luar-c4f4b?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/6/f5b31bc1-0810-45ea-a47a-91f554ca91dd.jpg.webp?ect=4g
Live Center MT2 Centering JIG Morse Taper MT 2 Mesin Bubut Putar Hidup,208140,80,https://www.tokopedia.com/teknikloak/live-center-mt2-centering-jig-morse-taper-mt-2-mesin-bubut-putar-hidup?extParam=ivf%3Dfalse&src=topads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/2/906e442a-d618-4f69-9923-f25dee9f92c2.jpg.webp?ect=4g
"Hard Jaw 6"" Claw Bubut 6 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 6in",249146,100,https://www.tokopedia.com/teknikloak/hard-jaw-6-claw-bubut-6-inch-3-jaw-chuck-mesin-kaki-utama-balik-6in-r-dalam?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/d939699b-4f03-481b-8091-08600fb4feb1.jpg.webp?ect=4g
"Hard Jaw 6"" Claw Bubut 6 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 6in",249146,100,https://www.tokopedia.com/teknikloak/hard-jaw-6-claw-bubut-6-inch-3-jaw-chuck-mesin-kaki-utama-balik-6in-r-dalam?extParam=ivf%3Dfalse&src=topads,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/d939699b-4f03-481b-8091-08600fb4feb1.jpg.webp?ect=4g
"Hard Jaw 4"" Claw Bubut 4 Inch 3 Jaw Chuck Mesin Kaki Utama Balik 4in",198496,100,https://www.tokopedia.com/teknikloak/hard-jaw-4-claw-bubut-4-inch-3-jaw-chuck-mesin-kaki-utama-balik-4in-r-dalam?extParam=ivf%3Dfalse%26keyword%3Dmesin_bubut%26src%3Dsearch&refined=true,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/3/44e40b97-720a-4c49-8747-a0a7e2928cd7.jpg.webp?ect=4g
